Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Sales
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Representative,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,121902
49,No,Travel_Frequently,Sales,8,1,Life Sciences,3,Male,2,2,Sales Representative,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,293590
37,Yes,Travel_Rarely,Sales,2,2,Other,4,Male,2,1,Sales Representative,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,168558
33,No,Travel_Frequently,Sales,3,4,Life Sciences,4,Female,3,1,Sales Representative,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,103054
27,No,Travel_Rarely,Sales,2,1,Medical,1,Male,3,1,Sales Representative,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,38243
32,No,Travel_Frequently,Sales,2,2,Life Sciences,4,Male,3,1,Sales Representative,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,215056
59,No,Travel_Rarely,Sales,3,3,Medical,3,Female,4,1,Sales Representative,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,97794
30,No,Travel_Rarely,Sales,24,1,Life Sciences,4,Male,3,1,Sales Representative,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,231081
38,No,Travel_Frequently,Sales,23,3,Life Sciences,4,Male,2,3,Sales Representative,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,149425
36,No,Travel_Rarely,Sales,27,3,Medical,3,Male,3,2,Sales Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,29152
35,No,Travel_Rarely,Sales,16,3,Medical,1,Male,4,1,Sales Representative,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,81341
29,No,Travel_Rarely,Sales,15,2,Life Sciences,4,Female,2,2,Sales Representative,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,98133
31,No,Travel_Rarely,Sales,26,1,Life Sciences,1,Male,3,1,Sales Representative,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,175496
34,No,Travel_Rarely,Sales,19,2,Medical,2,Male,3,1,Sales Representative,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,178899
28,Yes,Travel_Rarely,Sales,24,3,Life Sciences,3,Male,2,1,Sales Representative,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,61039
29,No,Travel_Rarely,Sales,21,4,Life Sciences,2,Female,4,3,Sales Representative,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,132776
32,No,Travel_Rarely,Sales,5,2,Life Sciences,1,Male,4,1,Sales Representative,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,130462
22,No,Non-Travel,Sales,16,2,Medical,4,Male,4,1,Sales Representative,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,50941
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Sales Representative,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,46742
38,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,1,Sales Representative,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2,159893
24,No,Non-Travel,Sales,11,2,Other,1,Female,4,2,Sales Representative,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3,79100
