Employee Number,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
1,46,Single,Female,4,Life Sciences,3,26,Black Jack,2,42,8,7,1452,2745,4091,Yes,70214,166108,351070,5,26,43052,3,14,0,1,7,3,2,Yes
2,24,Married,Female,4,Marketing,3,1,Roulette,4,47,8,6,1436,1251,5417,Yes,74842,145848,374210,1,18,38564,6,16,13,2,0,3,3,No
3,29,Married,Female,1,Marketing,1,45,Baccarat,2,94,3,7,2076,2392,3549,No,73639,169224,220917,5,22,71834,10,3,5,0,1,1,2,No
4,32,Married,Male,2,Life Sciences,4,10,Craps,3,45,6,10,2181,2003,4728,No,64700,156702,323500,5,26,68274,3,21,11,10,7,3,4,Yes
5,49,Married,Female,2,Medical,4,2,Pai Gow,2,90,9,8,1599,2926,3729,Yes,73326,139796,293304,6,18,54591,8,4,14,6,9,1,4,Yes
6,58,Married,Male,3,Life Sciences,4,46,Let it Ride,3,43,8,7,1190,2249,4050,No,77777,159253,388885,6,1,45768,3,8,1,0,0,1,2,Yes
7,41,Divorced,Female,4,Marketing,3,49,Carribean,1,71,8,5,2259,2827,4552,No,58163,163260,290815,7,0,69185,7,11,8,7,3,2,1,No
8,52,Single,Female,1,Marketing,3,48,Black Jack,4,46,10,5,1088,1302,4044,Yes,70764,161913,353820,2,17,62981,10,25,15,1,7,1,1,Yes
9,63,Married,Male,1,Marketing,2,47,Black Jack,4,70,1,0,1892,2106,6083,Yes,46016,160442,230080,6,16,46202,3,7,1,1,2,3,1,Yes
10,53,Married,Male,1,Marketing,5,19,Black Jack,3,94,7,4,1593,1041,3214,No,71541,160364,357705,4,14,61067,1,13,9,6,4,1,3,No
11,34,Married,Female,2,Life Sciences,3,19,Black Jack,3,38,2,4,1948,1785,6020,Yes,56637,143604,283185,2,19,81979,5,14,9,5,6,2,3,No
12,45,Married,Male,4,Life Sciences,5,23,Black Jack,2,81,8,9,2264,2580,6006,No,67039,161386,335195,0,6,36592,3,26,0,10,3,2,3,No
13,32,Married,Male,1,Marketing,3,15,Black Jack,2,63,7,6,2309,2554,3721,No,44859,165696,224295,3,16,81346,3,23,14,8,7,4,3,No
14,59,Married,Male,2,Marketing,4,35,Black Jack,4,45,4,6,1652,2472,5849,Yes,45078,147910,180312,5,21,75655,8,4,10,5,8,2,4,Yes
15,51,Single,Male,2,Life Sciences,1,17,Black Jack,4,68,2,9,1025,2385,4556,Yes,78732,156582,393660,4,20,48905,9,9,11,8,8,3,4,No
16,51,Single,Male,4,Life Sciences,4,43,Black Jack,3,28,3,6,1165,2746,6013,Yes,61738,160313,308690,5,6,29696,7,7,2,7,8,1,3,Yes
17,42,Single,Female,2,Technical Degree,2,23,Black Jack,3,27,8,8,2166,2074,5127,Yes,41310,168056,206550,2,2,45645,10,17,9,4,7,3,4,Yes
18,48,Single,Female,4,Life Sciences,4,36,Black Jack,2,41,6,10,2630,2537,5934,No,64852,64852,64852,5,8,48914,7,1,15,8,4,4,1,Yes
19,32,Single,Female,2,Life Sciences,3,43,Black Jack,4,59,2,8,1295,1527,6162,No,62211,141134,311055,1,17,47730,10,14,1,10,4,3,1,No
20,31,Married,Male,1,Medical,5,28,Black Jack,2,63,7,5,1733,2580,3211,No,44589,148590,133767,4,9,65908,6,3,8,3,7,4,2,No
21,58,Married,Male,3,Life Sciences,5,24,Black Jack,4,27,3,1,2310,1643,3918,No,43519,43519,43519,0,19,80471,5,1,1,8,1,3,4,No
