# OF EMPLOYEES,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition,Risk,Profit,riskNorm,profitNorm,R-Score
1,43,Single,Female,4,Life Sciences,4,34,Black Jack,4,88,9,8,1242,1839,4105,Yes,112408,112408,112408,3,25,83371,4,1,8,4,0,4,3,Yes,0.240003412,29037,0.240208588,0.237255591,0.05699083
2,51,Married,Female,1,Marketing,3,27,Roulette,1,79,2,6,1359,1817,5965,Yes,105768,218966,528840,5,22,32105,6,9,15,0,1,1,1,No,0.864126797,73663,0.864865529,0.601885821,0.520550299
3,40,Married,Female,4,Marketing,4,44,Baccarat,3,65,1,0,2450,1792,3142,No,81159,81159,81159,3,20,45698,4,1,15,8,0,1,4,No,0.99806761,35461,0.998920846,0.289744826,0.289432147
4,64,Married,Male,2,Life Sciences,5,8,Craps,4,49,6,1,2549,2539,3553,No,120086,240172,240172,1,15,49461,2,2,6,6,2,4,1,Yes,0.653625562,70625,0.654184339,0.577062923,0.377505527
5,24,Married,Female,1,Medical,4,26,Pai Gow,2,70,2,7,1786,1580,4721,Yes,143263,239814,429789,4,8,43235,9,3,5,1,6,4,1,Yes,0.836213138,100028,0.836928006,0.817309028,0.684028815
6,30,Married,Male,2,Life Sciences,4,29,Let it Ride,4,85,8,0,1901,2376,4576,No,112611,333239,563055,7,22,54428,10,10,10,0,4,4,2,Yes,0.551050736,58183,0.551521823,0.475401799,0.262194467
7,45,Divorced,Female,3,Marketing,3,23,Carribean,1,27,5,3,1178,2151,3704,No,134596,287722,672980,4,11,66998,7,23,5,9,7,1,4,No,0.703254423,67598,0.703855626,0.552329904,0.388760511
8,26,Single,Female,1,Marketing,3,9,Black Jack,4,90,10,6,2857,2279,6202,Yes,80992,220653,404960,0,26,28072,2,7,10,0,9,2,1,Yes,0.74126497,52920,0.741898669,0.432398866,0.320796143
9,35,Married,Male,4,Marketing,1,17,Black Jack,2,91,9,7,1836,1333,4955,Yes,82343,258680,411715,7,20,52678,10,7,14,0,1,3,2,Yes,0.280413645,29665,0.280653368,0.242386855,0.068026687
10,43,Married,Male,3,Marketing,5,39,Black Jack,1,29,4,0,2457,2452,3227,No,93526,242913,467630,4,24,32501,10,5,7,0,2,2,2,No,0.457342532,61025,0.457733509,0.49862322,0.228236556
11,31,Married,Female,1,Life Sciences,3,18,Black Jack,4,81,8,7,2740,2752,3925,Yes,84439,336105,422195,4,19,45678,2,20,3,4,3,4,3,No,0.456862616,38761,0.457253182,0.316708474,0.144815957
12,64,Married,Male,3,Life Sciences,4,33,Black Jack,3,72,9,0,2138,1476,5629,No,96691,278646,483455,3,14,55923,2,25,0,7,10,1,1,No,0.118061449,40768,0.118162379,0.333107274,0.039360748
13,44,Married,Male,3,Marketing,4,7,Black Jack,2,45,2,4,2707,1818,5088,No,127760,291289,638800,0,22,51820,10,22,15,0,4,4,4,No,0.197758542,75940,0.197927603,0.620490738,0.122812245
14,54,Married,Male,3,Marketing,2,38,Black Jack,4,56,7,9,1354,1483,4090,Yes,121140,290104,605700,6,4,59743,2,7,5,3,6,4,3,Yes,0.89493341,61397,0.895698478,0.501662758,0.449338569
15,65,Single,Male,1,Life Sciences,2,43,Black Jack,4,48,1,4,2875,2217,4838,Yes,138565,213424,415695,6,25,53155,4,3,3,1,2,3,2,No,0.979931344,85410,0.980769076,0.697868238,0.684447586
16,65,Single,Male,2,Life Sciences,4,16,Black Jack,1,97,3,10,2988,2968,3602,Yes,127203,205620,636015,6,22,81635,10,11,3,4,2,3,2,Yes,0.804424752,45568,0.805112445,0.372327126,0.299765203
17,53,Single,Female,2,Technical Degree,4,25,Black Jack,1,61,3,9,1242,1278,4515,Yes,143209,210242,716045,1,15,63791,1,26,3,4,1,1,2,Yes,0.415033443,79418,0.415388251,0.648908789,0.269549087
18,53,Single,Female,3,Life Sciences,4,41,Black Jack,3,81,7,5,1077,2803,3287,No,80572,217443,402860,3,5,57192,4,12,13,7,3,3,3,Yes,0.575572988,23380,0.576065039,0.191033361,0.110047641
19,36,Single,Female,2,Life Sciences,1,29,Black Jack,1,61,6,5,1659,2937,5106,No,109235,217965,546175,0,4,52055,6,22,5,10,8,2,3,No,0.594532695,57180,0.595040954,0.467206484,0.278006992
20,32,Married,Male,2,Medical,4,24,Black Jack,3,56,7,6,1664,1244,5908,No,103644,320815,518220,0,8,66604,8,12,14,4,6,1,4,No,0.936856799,37040,0.937657707,0.302646523,0.283778845
21,41,Married,Male,1,Life Sciences,2,39,Black Jack,2,83,2,3,2538,1541,4649,No,95280,312276,381120,0,10,53489,4,4,15,7,4,2,3,No,0.713976619,41791,0.714586989,0.341466005,0.244007165
22,31,Single,Female,2,Marketing,3,14,Black Jack,2,77,2,1,1182,2527,4181,Yes,139218,201983,696090,6,6,45187,1,25,8,9,3,3,4,Yes,0.860353692,94031,0.861089199,0.768308726,0.661582345
23,35,Married,Male,4,Life Sciences,3,14,Black Jack,2,82,7,10,2755,2139,5370,No,92717,323982,463585,3,15,70691,3,8,5,10,2,2,3,No,0.63593926,22026,0.636482917,0.179970095,0.114547891
24,33,Divorced,Female,4,Medical,1,28,Black Jack,3,92,9,9,2708,2237,5631,Yes,81024,248189,405120,6,23,59560,4,14,14,6,1,2,2,Yes,0.785786496,21464,0.786458255,0.175378104,0.137927558
25,32,Divorced,Female,1,Marketing,1,34,Black Jack,4,99,4,0,2406,2004,3552,No,121077,338487,605385,3,5,77467,6,21,5,10,10,1,3,Yes,0.181422298,43610,0.181577394,0.356328695,0.064701236
26,44,Single,Male,1,Marketing,5,30,Black Jack,1,72,5,6,2175,1099,4810,Yes,112656,205312,563280,4,16,51187,7,24,12,9,0,1,3,Yes,0.850240765,61469,0.850967626,0.502251056,0.427399389
27,24,Single,Female,1,Life Sciences,1,9,Black Jack,3,71,5,9,2315,2611,4292,Yes,130849,300524,654245,3,16,39165,1,22,10,6,4,1,4,No,0.85832145,91684,0.859055219,0.749131852,0.643545628
